epoch,train_perplexity,valid_perplexity,test_perplexity
1,111.39990044463389,65.74205252804761,
2,54.87375166900935,57.50755660392788,
3,45.86479437720271,54.218231609887916,
4,40.61977149871221,53.55021284096631,
5,36.87282548987295,54.61825490697811,
6,29.81975652407518,51.828372177867884,
7,27.2511375354216,52.98916925989111,
8,24.989569469588247,52.65724708628381,
9,24.235987426638975,52.351921446177904,
10,23.94131278933718,52.09926456694986,
11,23.837142460585966,52.03284239500456,
12,23.80887646913337,52.01609657499246,
13,23.80170608296291,52.01197345043988,
14,23.799972462503025,52.00868370006953,
15,23.798584247713286,52.00546695693979,
16,23.797209639629866,52.00232107503564,
17,23.795848980418594,51.99924431003882,
18,23.794500817483886,51.99623395454662,
19,23.79316512093031,51.99328457434551,
20,23.79184129420214,51.990401349800415,
21,23.790528996444586,51.987580539117324,
22,23.78922762580331,51.98481920593617,
23,23.787937147164,51.98211495333035,
24,23.786656969981017,51.97946146442049,
25,23.78538699817663,51.976861417073614,
End of Training,,,56.119619989250836
