epoch,train_perplexity,valid_perplexity,test_perplexity
1,114.62333932339106,65.89581548025379,
2,57.571394847644775,56.39814381283156,
3,48.667939872468224,53.12263784038561,
4,43.809418959309966,51.969586648432355,
5,40.33980111658466,51.11491324898488,
6,37.790611004849055,51.23356851674713,
7,31.82954673649722,48.94234544663109,
8,30.038949871617184,49.116963496565845,
9,28.28413170279109,48.580176067736716,
10,27.68438486962461,48.684865474305084,
11,27.169726347972528,48.38680082602782,
12,27.0372082556848,48.36608328626457,
13,26.91305242101678,48.36347283425505,
14,26.80611616031292,48.39958330892408,
15,26.675820269364575,48.30622836883642,
16,26.599949054754028,48.281808996898874,
17,26.620573162500467,48.26583840362559,
18,26.57636811599052,48.27151009858851,
19,26.520626095182365,48.258800905052055,
20,26.5250545288408,48.25301189286474,
21,26.519995932047667,48.24792191368218,
22,26.502306540260083,48.24367355219286,
23,26.48375750296481,48.24337033246573,
24,26.478987350900518,48.24572793209775,
25,26.487571850880183,48.2438825849,
End of Training,,,51.6981313280758
