epoch,train_perplexity,valid_perplexity,test_perplexity
1,120.574146286821,67.07458761065601,
2,62.82920461138811,57.13304103569745,
3,54.525992498788675,53.51966801106368,
4,50.095883028995,51.78901892027339,
5,47.24938134629271,50.58764900564042,
6,45.13785244378574,49.70256342002354,
7,43.500602754603285,49.18065764993049,
8,42.17434812771311,48.95814618179367,
9,41.064635979650824,48.99279450125531,
10,36.92992586930669,46.60225933035371,
11,35.601164132524936,46.55434792752341,
12,34.93923483108818,46.47491077949841,
13,34.387653114245296,46.538843627854185,
14,33.401832069412634,45.99113670407964,
15,33.07135508378419,45.95606100247673,
16,32.805593939208634,45.877470136402636,
17,32.650362907567875,45.89842925461242,
18,32.424985056066085,45.78061771603206,
19,32.27316615174436,45.756380280997625,
20,32.28003151876341,45.736187834043804,
21,32.17974081291523,45.72937951833964,
22,32.14587822756574,45.74133895044456,
23,32.05432344448841,45.73027016446437,
24,32.03614544557177,45.726039153259386,
25,32.05257447277605,45.72421661218222,
End of Training,,,48.72604062437769
