epoch,train_perplexity,valid_perplexity,test_perplexity
1,235.33235894789664,154.29707208532997,
2,173.2421767066607,144.5649652827345,
3,170.00740866190569,140.83462683891048,
4,169.1066314712924,141.2671942637209,
5,160.51244770993776,131.65864457028056,
6,153.9356693155448,129.13822462601607,
7,150.55620107546818,127.69816202703468,
8,148.09307056993717,126.21999836361866,
9,146.18600884264356,124.73657981910354,
10,144.76114388824814,122.98785715493662,
11,143.19762632397078,122.11419969285258,
12,141.9101303819288,120.65696147358761,
13,140.7161621755324,119.51936370384658,
14,139.56891380973877,118.59321694586085,
15,138.69773742552744,117.84954381876804,
16,137.74728300626282,117.0444808312444,
17,137.04888298988345,116.0883097134916,
18,136.14903960172234,114.93945876381966,
19,135.5516279146467,115.18861352238129,
20,132.77854586750627,112.4618320792165,
21,131.34278476971608,111.80083178371092,
22,130.93352220681646,111.60358998804001,
23,130.0424466547448,111.09419657739373,
24,129.90468068281942,110.89545688343632,
25,129.48376652121522,110.66483717568963,
End of Training,,,127.83105470331631
