epoch,train_perplexity,valid_perplexity,test_perplexity
1,149.1285710193215,78.74859252366443,
2,88.88869938837355,69.21090005734591,
3,81.41166372260166,66.40474687922793,
4,77.72857367871734,64.26956808519009,
5,75.53692772651723,62.572095003323334,
6,74.0264141234823,61.84218459067709,
7,72.78049169457037,60.938325928802286,
8,72.05347813469938,60.46023297124375,
9,71.41095157053788,60.67658770126819,
10,66.96835516696432,57.83731678122962,
11,64.85230395527448,57.259772165507826,
12,63.775330851236795,56.81928218016939,
13,63.00884179130753,56.56251415381627,
14,62.3621161524666,56.32213986066862,
15,61.904832835372325,56.03232124255077,
16,61.41976593218796,55.79602694844477,
17,61.00213271568701,55.58990096298759,
18,60.68813854676196,55.52327525717467,
19,60.29833837535896,55.28027264509991,
20,59.93498254060084,55.17315591514724,
21,59.65709242630411,54.91900830870329,
22,59.34039229008074,54.84727276743662,
23,59.1016301164984,54.719536499686534,
24,58.79883697385045,54.578398190646446,
25,58.58810468191173,54.39646153576199,
End of Training,,,60.3729857094302
